GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,TOTAL_STATEMENTS,STATEMENT_COVERAGE,TOTAL_BRANCH,BRANCH_COVERAGE,COMPLEXITY
JFreeChart,org.jfree.chart.plot,PlotRenderingInfo,45,148,9,11,13,42,8,16,1,13,193,0.766839378,20,0.55,24
JFreeChart,org.jfree.chart.plot,CombinedDomainXYPlot,351,557,59,53,89,153,53,33,13,17,908,0.613436123,112,0.473214286,86
JFreeChart,org.jfree.chart.plot,PolarPlot,1198,1103,178,104,340,312,158,77,53,41,2301,0.479356801,282,0.368794326,235
JFreeChart,org.jfree.chart.plot,DatasetRenderingOrder,12,49,4,6,5,17,5,6,1,5,61,0.803278689,10,0.6,11
JFreeChart,org.jfree.chart.plot,DialShape,24,48,8,4,9,14,7,5,1,5,72,0.666666667,12,0.333333333,12
JFreeChart,org.jfree.chart.plot,Plot,386,785,88,92,138,262,87,72,21,48,1171,0.670367208,180,0.511111111,159
JFreeChart,org.jfree.chart.plot,PiePlotState,0,80,0,0,0,34,0,21,0,21,80,1,0,0,21
JFreeChart,org.jfree.chart.plot,ThermometerPlot,1185,761,118,74,269,201,125,45,48,25,1946,0.391058582,192,0.385416667,170
JFreeChart,org.jfree.chart.plot,RingPlot,422,262,45,25,123,91,37,28,14,16,684,0.383040936,70,0.357142857,65
JFreeChart,org.jfree.chart.plot,PiePlot,983,2765,126,218,254,803,130,174,33,99,3748,0.737726788,344,0.63372093,304
JFreeChart,org.jfree.chart.plot,PieLabelDistributor,107,227,13,21,22,50,10,16,2,7,334,0.679640719,34,0.617647059,26
JFreeChart,org.jfree.chart.plot,PieLabelRecord,38,157,7,19,10,46,10,19,4,12,195,0.805128205,26,0.730769231,29
JFreeChart,org.jfree.chart.plot,PlotState,0,11,0,0,0,4,0,2,0,2,11,1,0,0,2
JFreeChart,org.jfree.chart.plot,FastScatterPlot,213,804,37,65,70,233,49,52,20,30,1017,0.790560472,102,0.637254902,101
JFreeChart,org.jfree.chart.plot,CompassPlot,821,374,69,36,167,111,66,26,17,18,1195,0.312970711,105,0.342857143,92
JFreeChart,org.jfree.chart.plot,DefaultDrawingSupplier,12,765,6,50,4,166,5,41,0,18,777,0.984555985,56,0.892857143,46
JFreeChart,org.jfree.chart.plot,CategoryMarker,6,93,3,7,3,27,3,10,0,8,99,0.939393939,10,0.7,13
JFreeChart,org.jfree.chart.plot,Crosshair,56,582,1,33,20,161,18,39,17,23,638,0.912225705,34,0.970588235,57
JFreeChart,org.jfree.chart.plot,MeterPlot,178,1347,49,93,51,371,62,65,18,38,1525,0.883278689,142,0.654929577,127
JFreeChart,org.jfree.chart.plot,IntervalMarker,20,116,2,10,5,34,4,13,2,9,136,0.852941176,12,0.833333333,17
JFreeChart,org.jfree.chart.plot,AbstractPieLabelDistributor,0,31,0,0,0,10,0,5,0,5,31,1,0,0,5
