GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,TOTAL_STATEMENTS,STATEMENT_COVERAGE,TOTAL_BRANCH,BRANCH_COVERAGE
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils,0,467,6,82,0,94,6,52,0,14,467,1,88,0.931818182
Apache Commons Lang,org.apache.commons.lang3,EnumUtils,0,398,1,35,0,70,1,32,0,15,398,1,36,0.972222222
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,21,1,3,0,3,85,0.905882353,2,0.5
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,0,69,0,4,0,11,0,5,0,3,69,1,4,1
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.2.new Iterator() {...},4,94,1,9,1,17,2,8,1,4,98,0.959183673,10,0.9
Apache Commons Lang,org.apache.commons.lang3,Conversion,194,2650,84,376,32,429,75,229,1,43,2844,0.931786217,460,0.817391304
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},7,76,4,4,2,23,4,3,0,3,83,0.915662651,8,0.5
Apache Commons Lang,org.apache.commons.lang3,ArchUtils,20,210,1,3,3,35,3,12,2,11,230,0.913043478,4,0.75
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,0,39,2,8,0,6,2,6,0,3,39,1,10,0.8
Apache Commons Lang,org.apache.commons.lang3,CharUtils,0,345,0,54,0,51,0,52,0,25,345,1,54,1
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils,43,457,8,84,18,94,9,48,1,10,500,0.914,92,0.913043478
Apache Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,0,130,0,18,0,30,0,14,0,5,130,1,18,1
Apache Commons Lang,org.apache.commons.lang3,NotImplementedException,0,42,0,0,0,16,0,7,0,7,42,1,0,0
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils.new Comparator() {...},0,7,0,0,0,2,0,2,0,2,7,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,BooleanUtils,0,800,9,245,0,190,9,161,0,41,800,1,254,0.964566929
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils,33,686,1,87,6,158,1,80,0,37,719,0.954102921,88,0.988636364
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,0,4,0,0,0,2,0,2,0,2,4,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,0,27,1,5,0,6,1,4,0,2,27,1,6,0.833333333
Apache Commons Lang,org.apache.commons.lang3,RegExUtils,3,95,0,30,1,20,1,25,1,10,98,0.969387755,30,1
Apache Commons Lang,org.apache.commons.lang3,StringUtils,8,6953,26,1491,3,1693,26,967,0,234,6961,0.99885074,1517,0.98286091
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils,14,114,0,8,4,29,0,11,0,7,128,0.890625,8,1
Apache Commons Lang,org.apache.commons.lang3,CharSet,0,305,0,34,0,59,0,26,0,9,305,1,34,1
Apache Commons Lang,org.apache.commons.lang3,RandomStringUtils,9,315,0,58,1,64,1,49,1,20,324,0.972222222,58,1
Apache Commons Lang,org.apache.commons.lang3,Range,23,401,6,70,1,81,6,56,0,24,424,0.945754717,76,0.921052632
Apache Commons Lang,org.apache.commons.lang3,RandomUtils,0,185,0,26,0,32,0,25,0,12,185,1,26,1
Apache Commons Lang,org.apache.commons.lang3,BitField,0,139,0,12,0,21,0,24,0,18,139,1,12,1
Apache Commons Lang,org.apache.commons.lang3,CharRange,0,243,1,49,0,43,1,38,0,14,243,1,50,0.98
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1,19,0.842105263,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,ClassUtils,67,1359,19,239,19,331,21,162,4,50,1426,0.953015428,258,0.926356589
Apache Commons Lang,org.apache.commons.lang3,JavaVersion,10,364,5,35,5,64,5,23,0,8,374,0.973262032,40,0.875
Apache Commons Lang,org.apache.commons.lang3,Validate,22,795,17,107,6,144,17,96,2,49,817,0.973072215,124,0.862903226
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils,113,8239,95,1459,48,2010,101,997,9,312,8352,0.986470307,1554,0.938867439
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.Interfaces,0,24,0,0,0,2,0,1,0,1,24,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2,13,1,2,1
Apache Commons Lang,org.apache.commons.lang3,Range.ComparableComparator,0,19,0,0,0,3,0,2,0,2,19,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,0,93,1,7,0,13,1,6,0,3,93,1,8,0.875
Apache Commons Lang,org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4,16,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,CharSequenceUtils,11,283,12,58,4,69,11,32,0,8,294,0.962585034,70,0.828571429
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2,5,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils,0,1091,0,0,0,67,0,18,0,18,1091,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,CharSetUtils,0,255,1,53,0,61,1,34,0,8,255,1,54,0.981481481
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils,0,314,5,41,0,59,5,34,0,16,314,1,46,0.891304348
Apache Commons Lang,org.apache.commons.lang3,SystemUtils,15,466,15,33,4,130,15,27,0,18,481,0.968814969,48,0.6875
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.1.new Iterator() {...},4,29,0,2,1,5,1,4,1,3,33,0.878787879,2,1
Apache Commons Lang,org.apache.commons.lang3,ClassPathUtils,0,120,0,0,0,14,0,5,0,5,120,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,21,0,0,0,4,0,2,0,2,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,18,0,0,0,3,0,2,0,2,18,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils,744,1694,164,262,135,362,128,143,8,50,2438,0.694831829,426,0.615023474
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeBuilder,0,19,0,0,0,5,0,3,0,3,19,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.GenericArrayTypeImpl,25,12,6,0,4,5,5,3,2,3,37,0.324324324,6,0
Apache Commons Lang,org.apache.commons.lang3.reflect,MemberUtils.Executable,0,38,0,0,0,12,0,6,0,6,38,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.ParameterizedTypeImpl,31,45,3,3,7,10,4,6,1,6,76,0.592105263,6,0.5
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeLiteral,13,67,2,2,4,12,4,4,2,4,80,0.8375,4,0.5
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeImpl,20,47,2,4,5,9,3,7,1,6,67,0.701492537,6,0.666666667
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.new Typed() {...},0,9,0,0,0,2,0,2,0,2,9,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.reflect,MemberUtils,32,396,13,65,8,70,14,39,1,13,428,0.925233645,78,0.833333333
